"brand","make","year","cm3","km","price"
"Alfa Romeo","147","2000","1970.0","180000","1090"
"Ford","Fiesta","2009","1399.0","137300","3990"
"BMW","120","2007","1995.0","187354","6000"
"Opel","Astra","2010","1398.0","130000","6850"
"Peugeot","307","2004","1600.0","220000","800"
"Škoda","Octavia","2007","1900.0","278000","3990"
"Mercedes","A 160","2005","1991.0","160000","2950"
"Renault","Modus","2005","1149.0","95000","2550"
"Mercedes","C 200","2003","1796.0","108480","3499"
"Opel","Astra","2001","1990.0","192000","1999"
"Renault","Megane","2014","1500.0","151000","6100"
"Opel","Insignia","2013","1956.0","257000","5900"
"Toyota","Yaris","2019","998.0","13024","10250"
"BMW","116","2015","1496.0","59566","14950"
"Peugeot","207","2006","1360.0","130000","3450"
"Opel","Corsa","2006","1248.0","170000","3099"
"Ford","Focus","2002","1798.0","200000","650"
"Fiat","Doblo","2017","1248.0","64000","8200"
"Volvo","V50","2006","1994.0","170000","2450"
"Audi","A4","2009","1968.0","208000","7850"
"Opel","Insignia","2009","1998.0","195500","5900"
"Honda","Civic","2006","1339.0","215000","4990"
"BMW","116","2010","1995.0","186000","6850"
"Opel","Astra","2010","1398.0","68100","5500"
"Opel","Corsa","2009","1200.0","99422","4190"
"Opel","Astra","2013","1686.0","84000","6850"
"Citroen","C5","2006","1560.0","173410","2390"
"Renault","Laguna","2013","1461.0","157799","6590"
"Peugeot","207","2011","1560.0","180000","3900"
"VW","Tiguan","2009","1968.0","188000","8850"
"VW","Passat","2008","1968.0","269089","4499"
"Citroen","C4","2006","1596.0","177000","2450"
"Audi","A4","2007","1896.0","347000","6190"
"Peugeot","308","2015","1560.0","112000","7750"
"Nissan","Qashqai","2008","1995.0","161000","6500"
"Renault","Scenic","2010","1870.0","162506","4990"
"Audi","A4","2001","1896.0","230000","2599"
"Ford","Mondeo","2015","1997.0","155000","10199"
"Fiat","Panda","2013","1248.0","189000","5600"
"Ford","Fiesta","2009","1242.0","125000","4950"
"Opel","Corsa","2013","1229.0","48125","5500"
"Peugeot","308","2008","1600.0","181000","3500"
"Škoda","Octavia","2015","1598.0","186194","11499"
"Mazda","RX_8","2003","1308.0","211640","4450"
"Toyota","Yaris","2019","998.0","17448","9990"
"Peugeot","208","2016","1560.0","160000","6450"
"Citroen","C4 Cactus","2015","1199.0","70290","7500"
"Škoda","Octavia","2014","1598.0","193769","9799"
"Renault","Megane","2007","1598.0","151789","2200"
"Citroen","Jumpy","2012","1600.0","120000","4650"
"Audi","A4","2004","1968.0","176361","5190"
"BMW","320","2002","1956.0","245000","1900"
"Renault","Megane","2014","1461.0","101000","6350"
"Škoda","Octavia","2014","1968.0","186965","10499"
"VW","Golf 5","2005","1400.0","138000","4050"
"Opel","Meriva","2006","1596.0","175213","2400"
"Ford","Fiesta","2009","1596.0","150000","4250"
"Kia","Ceed","2009","1582.0","142304","3950"
"Audi","A3","2011","1588.0","192000","7900"
"Opel","Meriva","2009","1700.0","133201","3350"
"Chevrolet","Trax","2014","1686.0","112000","10490"
"BMW","218 Active Tourer","2015","1995.0","204000","14800"
"Audi","A3","2015","1968.0","170303","11499"
"Mercedes","A 180","2008","1991.0","154245","4390"
"VW","Sharan","2011","2000.0","218255","9850"
"Renault","Kangoo","2016","1461.0","169000","5990"
"Opel","Astra","2008","1248.0","156000","4250"
"Peugeot","Partner","2014","1560.0","160653","5990"
"Fiat","Doblo","2017","1598.0","135000","8990"
"Volvo","XC 60","2014","1969.0","157528","16999"
"Renault","Kangoo","2016","1461.0","147000","7700"
"Renault","Kangoo","2013","1461.0","165000","5700"
"Citroen","C4","2017","1560.0","146000","8150"
"Audi","A4","2005","1968.0","189000","3900"
"Seat","Altea XL","2014","1598.0","184000","8300"
"Opel","Insignia","2014","1956.0","193869","8990"
"Citroen","Jumper","2013","2200.0","175000","7650"
"Volvo","XC 60","2014","1969.0","138158","20399"
"Citroen","C5","2012","1998.0","168000","8299"
"Renault","Kangoo","2013","1461.0","161000","6600"
