"brand","make","year","cm3","km","price"
"Fiat","Doblo","2014","1248.0","114904","5650"
"VW","Tiguan","2012","1968.0","155497","13990"
"BMW","520","2010","1995.0","262677","13900"
"Mercedes","B 180","2012","1796.0","194131","9400"
"MINI","Countryman","2016","1995.0","69989","14790"
"Audi","A4","2005","1968.0","236000","3690"
"VW","Caddy","2015","1598.0","149858","7300"
"Fiat","Doblo","2014","1248.0","67583","5900"
"Volvo","XC 90","2016","1969.0","69620","38900"
"Škoda","Octavia","2013","1598.0","152221","8900"
"Volvo","XC 60","2015","1969.0","148","18900"
"Renault","Captur","2017","1461.0","146","10990"
"BMW","520","2017","1995.0","115","38990"
"BMW","530","2010","2993.0","147946","14990"
"BMW","118","2015","1995.0","53254","14490"
"Audi","Q7","2016","2967.0","52126","46990"
"VW","Tiguan","2015","1968.0","166968","12990"
"Ford","Fusion","2006","1599.0","184750","2550"
"BMW","530","2012","2993.0","203232","17990"
"Audi","A6","2006","1968.0","238012","7750"
"VW","Passat","2006","1968.0","193134","3999"
"Suzuki","Wagon R+","2003","1298.0","270000","1500"
"Opel","Corsa","2008","1248.0","178000","2950"
"Fiat","500","2011","1242.0","124000","5500"
"Renault","Scenic","2005","1870.0","182457","1890"
"Opel","Zafira","2006","1910.0","241320","3300"
"Opel","Corsa","2000","1195.0","123456","999"
"BMW","X1","2016","1995.0","46021","25990"
"Peugeot","307","2004","1998.0","180000","1850"
"VW","Passat","2001","1984.0","181000","2000"
"Opel","Corsa","2002","1199.0","128725","1989"
"Seat","Altea","2004","1900.0","185660","3200"
"Fiat","Doblo","2003","1910.0","177000","2350"
"Fiat","Croma","2007","1910.0","194373","3250"
"Opel","Zafira","2003","1598.0","174000","1800"
"Fiat","Stilo","2003","1595.0","168000","1450"
"Opel","Astra","2006","1686.0","175270","3150"
"Renault","Laguna","2008","1995.0","178208","3950"
"Opel","Astra","2006","1599.0","238560","2700"
"Renault","Scenic","2004","1870.0","215740","1950"
"VW","Passat","2002","1896.0","181329","2350"
"Renault","Modus","2006","1598.0","156481","2450"
"Peugeot","307","2005","1560.0","177000","1899"
"Toyota","Corolla","2004","1998.0","156850","2850"
"Opel","Corsa","2007","1200.0","152513","3350"
"Seat","Ibiza","2005","1190.0","168545","1799"
"Renault","Grand Scenic","2007","1810.0","215452","2700"
"VW","Jetta","2013","1598.0","110552","9490"
"Citroen","C4 Picasso","2012","1560.0","168270","5800"
"Renault","Megane","2005","1461.0","178000","2000"
"BMW","X3","2015","1995.0","155418","21990"
"Renault","Megane","2004","1598.0","177000","2099"
"Renault","Grand Scenic","2006","1890.0","174000","2250"
"Peugeot","206","2004","1398.0","158050","1890"
"Mazda","3","2005","1560.0","169000","2750"
"Peugeot","206","2003","1598.0","186287","1799"
"Fiat","Croma","2008","1910.0","195200","3200"
"VW","Golf 5","2004","1598.0","181235","2950"
"Audi","A6","2011","2967.0","223880","15450"
"Fiat","Croma","2007","1910.0","181420","2600"
"Peugeot","307","2004","1998.0","178000","1950"
"Opel","Astra","2005","1686.0","180225","2790"
"VW","Polo","2003","1198.0","172087","1850"
"Mercedes","Vaneo","2004","1689.0","171500","2500"
"Renault","Megane","2013","1598.0","222000","6400"
"Seat","Arosa","2002","1716.0","178000","1650"
"Peugeot","307","2003","1596.0","177000","1750"
"Peugeot","307","2003","1398.0","182457","2250"
"Alfa Romeo","156","2004","1910.0","250000","2400"
"Peugeot","406","2002","1998.0","194000","1500"
"Ford","Focus","2005","1997.0","160000","2450"
"Renault","Megane","2003","1598.0","172000","1450"
"Opel","Zafira","2003","1995.0","288500","2050"
"Peugeot","307","2003","1998.0","178000","1750"
"Opel","Astra","2001","1700.0","226500","1550"
"Škoda","Octavia","2006","1896.0","282487","3290"
"Peugeot","207","2007","1398.0","166000","2950"
"Mercedes","A 200","2005","1992.0","190000","2999"
"Ford","Mondeo","2003","1998.0","167900","1750"
"VW","Golf 6","2011","1598.0","169128","6690"
"VW","Passat","2013","1968.0","189730","12999"
"Ford","Focus","2001","1596.0","176000","1500"
"Opel","Astra","2006","1248.0","205000","2850"
"Hyundai","Santa Fe","2012","2199.0","182870","9999"
"Ford","Kuga","2008","1995.0","167000","8600"
"Renault","Grand Espace","2002","1995.0","281000","3000"
"Hyundai","Atos","2001","999.0","256000","1000"
"Ford","Focus","2003","1.0","180","1400"
"Nissan","Terrano","2002","2664.0","109000","2900"
"Audi","A6","1999","2495.0","302000","2399"
"Honda","CR_V","2008","2204.0","176298","7990"
"Mitsubishi","Pajero","2008","3200.0","292860","8999"
"Suzuki","Wagon R+","2002","1298.0","98000","1350"
"VW","Golf 6","2010","1598.0","142331","6799"
"Citroen","C4","2006","1360.0","330000","1950"
"Volvo","XC 90","2016","1969.0","137360","29990"
"VW","Golf 7","2015","1968.0","155300","12650"
"Fiat","Idea","2004","1248.0","196000","2000"
"Lancia","Thesis","2003","2398.0","290000","2000"
"VW","New Beetle","2016","1197.0","61480","15490"
"Mercedes","S klasa","2008","5461.0","227127","12999"
"Škoda","Superb","2016","1598.0","154290","12850"
"Honda","CR_V","2016","1997.0","75808","18999"
"Peugeot","407","2004","1560.0","230500","3250"
"Peugeot","407","2004","1560.0","230500","3250"
"Audi","A5","2012","1968.0","114439","14999"
"VW","Tiguan","2017","1968.0","179500","16980"
"Nissan","Juke","2013","1461.0","108900","8350"
"Fiat","Punto","2002","1157.0","226688","1499"
"Audi","A6","2011","1968.0","291000","7700"
"Mercedes","A 200","2005","1992.0","190000","2999"
"Fiat","Croma","2008","1910.0","235248","3100"
"Škoda","Octavia","2017","1968.0","109000","17750"
"Ford","Connect","2008","1800.0","90000","3500"
"VW","Golf 5","2008","1390.0","153807","6499"
"BMW","Serija 5","2004","2993.0","256441","5599"
"Seat","Leon","2015","1598.0","155000","8990"
"VW","Passat","2015","1968.0","117500","23500"
"Audi","A6","2005","2967.0","248352","8299"
"Hyundai","Lantra","2000","1905.0","267000","1180"
"Seat","Altea XL","2010","1968.0","242862","5999"
"Citroen","C5","2002","1998.0","178000","1650"
"Peugeot","307","2003","1587.0","174000","1999"
"VW","Polo","2001","1896.0","179000","1650"
"VW","Golf 2","1988","1570.0","234567","450"
"Mercedes","Vaneo","2003","1698.0","236000","2450"
"VW","Golf 5","2004","1898.0","182106","2550"
"Peugeot","5008","2013","1997.0","149563","7290"
"Saab","9_5","2001","1995.0","360000","1300"
"BMW","320","2000","1951.0","230000","2000"
"Opel","Astra","2009","1686.0","199000","3790"
"Mazda","3","2017","1486.0","58836","14490"
"Fiat","Stilo","2002","1589.0","220000","1100"
"Renault","Kangoo","2014","1461.0","92000","4800"
"Jeep","Grand Cherokee","2001","4700.0","450000","3500"
"VW","Passat","2015","1968.0","141025","13590"
"Peugeot","307","2003","1600.0","323000","1350"
"VW","Passat","2003","1900.0","247000","2400"
"Citroen","C3","2006","1398.0","229000","1750"
"Škoda","Octavia","2015","1968.0","180325","10990"
"Ford","Fiesta","2015","1499.0","165000","6000"
"Chrysler","300C","2006","3000.0","242846","4400"
"Audi","A4","2014","1968.0","160340","11690"
"BMW","Serija 5","2017","1995.0","59624","37500"
"Audi","A4","2009","1998.0","280000","8000"
"VW","Golf 4","2002","1390.0","233000","1550"
"Škoda","Superb","2016","1968.0","209464","14500"
"Ford","Focus","2009","1560.0","202000","3550"
"Renault","Thalia","2003","1390.0","210000","1490"
"BMW","Serija 5","2012","2993.0","230391","16990"
"Škoda","Fabia","2003","1198.0","60589","2490"
"Ford","Fusion","2007","1596.0","180992","3300"
"Opel","Astra","2011","1998.0","236550","6200"
"VW","Eos","2008","1968.0","114000","6900"
"Mercedes","B 180","2014","1461.0","174337","9890"
"Mercedes","S klasa","2013","2987.0","189000","24000"
"Mercedes","A 180","1998","1598.0","236273","1290"
"Renault","Megane","2009","1461.0","190000","4650"
"VW","Tiguan","2013","1968.0","187000","11490"
"Renault","Scenic","2014","1461.0","166347","9950"
"Chrysler","300C","2005","5700.0","83500","8100"
"VW","Passat","2015","1968.0","188514","12490"
"Renault","Scenic","2004","1598.0","278000","1399"
"Opel","Corsa","2002","1700.0","200000","1700"
"Audi","A8","2006","2967.0","272000","8500"
"Ford","Mondeo","2015","1997.0","148538","13290"
"Škoda","Octavia","2007","1968.0","294734","4400"
"Ford","Fiesta","2003","1399.0","348000","1290"
"Chrysler","300M","2001","3500.0","187621","1300"
"Chrysler","300C","2007","3000.0","226157","7999"
"VW","Passat","2015","1598.0","155465","12450"
"Chrysler","Voyager","2003","2500.0","312594","1850"
"Audi","80","1989","1600.0","313000","500"
"Mercedes","M klasa","2008","5462.0","189602","11500"
"Ford","Focus","2006","1600.0","200000","100"
"Audi","A4","1998","1896.0","293000","1550"
"Honda","Jazz","2006","1200.0","169369","2850"
"Renault","Scenic","2004","1461.0","175275","3000"
"Škoda","Octavia","2004","1896.0","198799","2499"
"Fiat","Croma","2005","1910.0","200883","2200"
"BMW","316","2004","1800.0","178000","3100"
"Opel","Astra","2002","1688.0","224500","1750"
"Fiat","Punto","2002","1900.0","157000","999"
"Renault","Laguna","2009","2000.0","198000","100"
"Ford","Kuga","2009","1997.0","130000","6890"
"VW","Passat","2007","1896.0","160000","4000"
"Opel","Corsa","2016","1248.0","67420","6950"
"Renault","Kangoo","2002","1900.0","241287","2800"
"VW","Tiguan","2012","1968.0","161596","13990"
"Citroen","DS4","2014","1560.0","193500","6990"
"VW","Passat","2001","1900.0","245000","2850"
"Opel","Omega","2003","2500.0","26000","100"
"Mercedes","A 170","2004","1689.0","220000","1800"
"Fiat","Grande Punto","2011","1248.0","155000","3400"
"Opel","Corsa","2007","1248.0","188645","2830"
"Opel","Corsa","2002","1700.0","170000","1750"
"Opel","Vectra","2007","1900.0","178936","3450"
"Opel","Astra","2001","1598.0","239000","2050"
"Ford","Escort","1995","1299.0","206000","630"
"BMW","X3","2006","1989.0","208000","6450"
"Ford","Mondeo","2011","2000.0","189369","5650"
"Opel","Astra","2003","2200.0","126000","2700"
"Audi","A6","2009","1999.0","258000","9499"
"Peugeot","207","2009","1400.0","177711","3499"
"Opel","Vectra","2002","1998.0","222000","2100"
"Fiat","Tempra","1991","1929.0","203500","1100"
"Peugeot","307","2003","1997.0","181000","1700"
"Suzuki","Swift","2000","993.0","145715","730"
"Opel","Omega","2003","2500.0","220000","100"
"Audi","A4","2007","1968.0","187000","5700"
"VW","Golf 2","1991","1588.0","298000","480"
"Renault","Scenic","2004","1461.0","186000","1600"
"Peugeot","308","2008","1598.0","173521","3350"
"Škoda","Fabia","2006","1896.0","280000","2500"
"Mercedes","A 170","2003","1689.0","186559","2250"
"VW","Tiguan","2008","1998.0","244434","7500"
"Opel","Astra","2002","1700.0","177000","1590"
"Suzuki","Grand Vitara","2008","1899.0","170556","6950"
"Ford","Focus","2002","1800.0","162400","1500"
"Citroen","C4","2006","1360.0","200200","2600"
"VW","Passat","2007","1900.0","295000","5599"
"Opel","Corsa","2001","998.0","144000","1500"
"Renault","Twingo","2008","1149.0","106000","2690"
"Fiat","Grande Punto","2005","1200.0","192000","2300"
"BMW","320","2006","1995.0","245000","4700"
"Audi","A4","2003","1899.0","190142","3299"
"Fiat","Ulysse","2010","2000.0","200000","4200"
"Dacia","Logan","2006","1598.0","165000","999"
"VW","Golf 4","2002","1896.0","249000","2290"
"Alfa Romeo","Giulietta","2012","2000.0","193000","6000"
"BMW","316","2004","18000.0","136000","2950"
"VW","Passat","2007","2000.0","208800","5100"
"Škoda","Octavia","2008","1900.0","170000","4500"
"Fiat","Doblo","2016","1248.0","118000","6000"
"Chevrolet","Kalos","2004","1200.0","127387","1599"
"Peugeot","206","2003","1997.0","21350","1950"
"Hyundai","Atos","2001","999.0","256000","1000"
"Opel","Corsa","2012","1389.0","179000","4450"
"Nissan","Note","2009","1598.0","150119","3150"
"Ford","Focus","2006","1800.0","218000","2350"
"Fiat","Stilo","2004","1910.0","264700","1450"
"Renault","Laguna","2004","1898.0","230000","1500"
"BMW","320","2001","1995.0","203700","2400"
"Fiat","Palio","2002","1596.0","183300","1450"
"Mercedes","A 180","2005","1992.0","253000","2350"
"Ford","Escort","1996","1.0","70000","350"
"Opel","Astra","2004","1995.0","225000","1690"
"Peugeot","206","2005","1142.0","140000","1650"
"Peugeot","206","2001","1400.0","230000","1499"
"VW","Golf 5","2004","1980.0","300000","3600"
"Seat","Ibiza","2003","1390.0","217000","1790"
"Mercedes","Vito","2012","2198.0","165000","8350"
"Opel","Astra","2004","1686.0","241189","2850"
"Fiat","Stilo","2002","1910.0","212000","1050"
"Renault","Thalia","2005","1390.0","142000","1750"
"Peugeot","307","2005","1560.0","179500","2350"
"Peugeot","307","2003","1587.0","192000","1790"
"Renault","Laguna","2000","1598.0","217000","750"
"Citroen","ZX","1997","1360.0","262800","700"
"Peugeot","306","2001","1800.0","149000","111"
"Mazda","626","2001","1800.0","314620","2000"
"Mercedes","E 200","2011","2143.0","211000","11300"
"Hyundai","ix35","2013","1591.0","102000","10300"
"Opel","Corsa","2009","1200.0","179000","3350"
"Opel","Astra","2004","1686.0","195325","2250"
"Peugeot","206","2002","1400.0","253334","1050"
"Mazda","3","2004","1999.0","189000","2300"
"Opel","Corsa","2007","1248.0","114976","2500"
"Citroen","C4","2005","1560.0","153000","2890"
"VW","Golf 2","1987","1600.0","1234","500"
"Ford","Fiesta","2007","1299.0","120000","2790"
"Audi","A4","2008","1968.0","216000","7690"
"Peugeot","307","2001","2000.0","276102","1300"
"Renault","Kangoo","2002","1598.0","122000","1900"
"BMW","520","2006","1996.0","285000","2350"
"VW","Golf 6","2009","1984.0","150666","8750"
"Renault","Scenic","2008","1870.0","220000","3200"
"Ford","Focus","2006","1560.0","145683","2350"
"BMW","116","2006","1596.0","176000","3650"
"Fiat","Ducato","2014","1956.0","135000","6999"
"Mercedes","C 180","2002","1998.0","200000","2800"
"Škoda","Octavia","2000","1900.0","278000","930"
"Renault","Clio","2007","1598.0","170350","2500"
"Mercedes","E 200","2017","1950.0","203000","24999"
"Ford","Fiesta","2003","1400.0","143000","2100"
"Peugeot","206","2004","1398.0","250000","1850"
"Škoda","Roomster","2010","1598.0","166000","3999"
"Audi","A6","2008","2697.0","260000","4999"
"Mercedes","C 180","2001","1998.0","226500","2800"
"Zastava","101","2006","1116.0","37500","500"
"Peugeot","307","2001","1998.0","211000","1150"
"Audi","A4","2002","1896.0","300000","3200"
"VW","Golf 2","1987","1600.0","1234","500"
"Opel","Corsa","2004","1.0","190000","2200"
"Peugeot","306","2001","1997.0","150000","111"
"Renault","Laguna","2005","1900.0","277000","1800"
"Fiat","Stilo","2002","1589.0","191500","1200"
"Yugo","Koral In","2008","1100.0","197384","550"
"Citroen","C4","2007","1560.0","275390","2500"
"Renault","Laguna","2008","1995.0","202673","2990"
"Mercedes","C 200","2002","2200.0","242000","2550"
"Audi","A3","2007","1968.0","256000","5400"
"Citroen","C4","2007","1360.0","223000","2600"
"VW","Golf 2","1992","1600.0","400000","600"
"VW","Sharan","2011","1968.0","158069","9900"
"Ford","Transit","1992","2500.0","210000","1250"
"Opel","Zafira","2006","1910.0","220000","2950"
"Mercedes","B 180","2015","1461.0","146245","11490"
"Suzuki","Wagon R+","2004","1300.0","180000","1450"
"Škoda","Fabia","2012","1598.0","168000","4650"
"Opel","Astra","2006","1910.0","194409","3190"
"Opel","Kadett","1985","1596.0","245000","399"
"BMW","318","2008","1998.0","186000","4950"
"Nissan","Qashqai","2009","1598.0","237532","5299"
"Renault","Clio","2002","1486.0","203569","1300"
"Ford","Focus","2009","1560.0","177000","3950"
"Fiat","Stilo","2004","1900.0","145200","700"
"Peugeot","307","2002","1998.0","177734","1750"
"Subaru","Outback","2015","1998.0","189192","12999"
"Opel","Astra","2001","1700.0","246123","1750"
"Renault","Megane","2005","1500.0","216123","1600"
"Alfa Romeo","147","2004","1910.0","190000","1350"
"Hyundai","Santa Fe","2001","1990.0","225000","2499"
"Subaru","Forester","2002","1994.0","272800","2550"
"Fiat","Punto","2011","1242.0","78162","2300"
"Renault","Clio","2014","1461.0","149000","4250"
"Citroen","C4 Grand Picasso","2016","1997.0","189343","10390"
"Renault","Scenic","2003","1500.0","210000","1580"
"VW","Polo","2005","1198.0","176711","2290"
"Ford","Fusion","2003","1390.0","240000","1550"
"VW","Golf 4","2001","1984.0","232128","1800"
"VW","Jetta","1990","1600.0","123456","840"
"Opel","Astra","2015","1364.0","56947","8999"
"Peugeot","206","2004","1592.0","192334","2100"
"Fiat","Freemonte","2015","1956.0","119457","15999"
"Audi","A6","2016","1998.0","217320","19800"
"Renault","Megane","2003","1870.0","230000","1450"
"Fiat","Stilo","2002","1596.0","230000","1399"
"Škoda","Octavia","2008","1896.0","282000","3950"
"VW","Polo","2002","1896.0","210000","1850"
"Peugeot","307","2004","1598.0","176206","2050"
"Dacia","Duster","2014","1461.0","151741","8999"
"Ford","Fiesta","2002","1250.0","150000","499"
"Opel","Mokka","2016","1598.0","121951","11990"
"Opel","Agila","2008","1200.0","166000","3550"
"Citroen","C4 Grand Picasso","2007","1560.0","245719","2450"
"Fiat","Doblo","2008","1910.0","170000","3950"
"BMW","318","2016","1995.0","159605","16950"
"Opel","Insignia","2017","1956.0","127586","17999"
"VW","Touran","2016","1598.0","165853","10990"
"VW","Golf 2","1992","1600.0","400000","600"
"Mercedes","A 180","2008","1498.0","84665","5550"
"VW","Golf 7","2017","1395.0","24397","15990"
"BMW","Serija 3","2015","1995.0","129375","15999"
"Opel","Corsa","2013","1229.0","81795","5800"
"Alfa Romeo","MiTo","2013","1248.0","163344","5800"
"VW","Passat","2011","1968.0","223414","7999"
"VW","Golf 6","2010","1400.0","163000","5800"
"BMW","318","2013","1995.0","175925","10990"
"Mercedes","A 180","2009","1498.0","167400","3999"
"VW","New Beetle","2007","1300.0","96700","4990"
"Ford","Mondeo","2013","1997.0","217862","8990"
"Mercedes","E klasa","2010","2987.0","306527","11990"
"Škoda","Fabia","2006","1198.0","148329","2200"
"Fiat","Stilo","2003","1596.0","186000","1550"
"VW","Golf 3","1995","1598.0","157000","1099"
"Fiat","Stilo","2003","1900.0","198000","1800"
"Fiat","500","2011","1242.0","96366","4670"
"Lancia","Kappa","1997","1998.0","236000","1900"
"VW","Passat","2004","1896.0","252000","2900"
"Citroen","C4 Grand Picasso","2007","1560.0","172000","3150"
"Audi","A3","2011","1598.0","161000","6390"
"Suzuki","SX 4","2011","1956.0","110000","6999"
"Citroen","C5","2001","1800.0","179000","1180"
"Mazda","5","2006","1998.0","172000","2950"
"VW","Jetta","1990","1300.0","334495","600"
"VW","Passat","2000","1896.0","341200","1890"
"Ford","Focus","2001","1600.0","144000","1700"
"Peugeot","207","2006","1360.0","130540","3300"
"Škoda","Roomster","2006","1896.0","297832","2590"
"Fiat","Punto","2002","1900.0","250000","1500"
"Ford","Focus","2002","1800.0","275000","1350"
"VW","Golf 6","2009","1390.0","168000","5850"
"Opel","Insignia","2015","1956.0","64520","15999"
"Ford","Focus","2004","1754.0","190000","1750"
"VW","Eos","2007","1968.0","241100","6500"
"Saab","95","2001","1995.0","252000","1600"
"Peugeot","208","2016","1598.0","80000","6990"
"VW","Touran","2005","1896.0","175000","3190"
"Dacia","Logan","2007","1389.0","200000","1650"
"VW","Golf 2","1987","1600.0","345623","850"
"Citroen","Nemo","2011","1248.0","138416","4500"
"Peugeot","3008","2011","1598.0","169076","6800"
"Ford","Focus","2008","1600.0","223900","3100"
"Renault","Scenic","2015","1498.0","200000","6300"
"Mercedes","CL","2007","5461.0","114298","29999"
"Ford","Transit","2007","2200.0","200000","4000"
"Mazda","5","2006","1998.0","168000","2990"
"Mazda","3","2005","1600.0","240000","2800"
"Toyota","RAV4","2003","1995.0","2200000","4250"
"Peugeot","207","2011","1600.0","174476","3800"
"Audi","A3","2010","1600.0","185000","7490"
"Fiat","Stilo","2005","1876.0","237346","2250"
"Mercedes","E klasa","2008","2987.0","260310","5499"
"Fiat","Punto","2001","1242.0","200000","820"
"Citroen","C4 Aircross","2014","1590.0","100659","8498"
"Peugeot","406","2001","1998.0","301500","1500"
"Peugeot","207","2007","1398.0","204804","2850"
"VW","Vento","1993","1896.0","225134","799"
"VW","Polo","1997","1400.0","160000","350"
"Toyota","Yaris","2003","1389.0","180000","1550"
"Dacia","Logan","2008","1600.0","216000","2350"
"Peugeot","307","2004","1998.0","193500","2200"
"Ford","Fiesta","2012","1242.0","92000","4700"
"Mazda","2","2005","1389.0","107000","2750"
"Peugeot","307","2002","1998.0","190056","2190"
"Renault","Clio","2003","1149.0","183000","1350"
"Fiat","Seicento","2003","1100.0","180000","1300"
"Peugeot","206","2001","2000.0","260000","1500"
"Opel","Corsa","2002","1700.0","264000","1300"
"Renault","Captur","2017","1498.0","202000","10250"
"Renault","R 19","1994","1700.0","384846","400"
"VW","Sharan","2005","1896.0","221356","5100"
"Škoda","Octavia","2010","1968.0","132000","8320"
"Suzuki","Grand Vitara","2004","1997.0","220000","4000"
"Škoda","Octavia","2015","1968.0","190000","10280"
"Renault","Twingo","2009","1461.0","91366","3099"
"Daewoo","Tacuma","2002","1800.0","140000","500"
"Audi","A6","2001","2500.0","250000","1350"
"Toyota","Yaris","2008","1000.0","155000","3499"
"Mercedes","C 200","2004","2148.0","287000","3300"
"Renault","Laguna","2001","1897.0","216000","1299"
"Seat","Ibiza","2003","1400.0","210400","1850"
"Škoda","Rapid","2013","1390.0","105000","9250"
"Škoda","Octavia","2006","1896.0","138150","4580"
"Kia","Sportage","2004","1997.0","240000","3950"
"Škoda","Octavia","2013","1197.0","88000","9250"
"Toyota","Yaris","2001","1300.0","275000","1950"
"Renault","R 19","1994","1700.0","384846","400"
"Opel","Astra","2001","1996.0","440000","1150"
"Peugeot","206","2004","1398.0","193492","1890"
"Toyota","RAV4","2004","1995.0","196000","4350"
"Chevrolet","Spark","2011","1206.0","148000","3290"
"Škoda","Fabia","2008","1896.0","186000","3740"
"Fiat","Stilo","2003","1900.0","175000","1550"
"Shuanghuan","CEO","2008","2351.0","30000","2300"
"Fiat","Brava","1996","1370.0","230000","800"
"Škoda","Octavia","2013","1598.0","169000","7010"
"Nissan","Micra","2004","1200.0","225689","2300"
"VW","Passat","2008","1986.0","281000","5400"
"VW","Golf 5","2004","1400.0","201875","2950"
"Citroen","C5","2009","1600.0","294700","4500"
"Audi","A4","2006","1968.0","188314","4900"
"Seat","Ibiza","2002","1896.0","192000","2200"
"Škoda","Octavia","2007","1968.0","244000","2710"
"Opel","Astra","2001","1698.0","241000","2100"
"Opel","Zafira","2003","1995.0","200000","1600"
"Ford","Focus","2002","1753.0","210000","450"
"Mazda","6","2002","1789.0","227000","2300"
"Fiat","500","2014","1289.0","77000","7200"
"Renault","Megane","2010","1600.0","103000","4850"
"Škoda","Fabia","2008","1598.0","162420","3460"
"Renault","Kadjar","2017","1498.0","171000","13950"
"VW","Passat","2009","1998.0","202549","4990"
"Fiat","Doblo","2005","1910.0","204000","2650"
"Ford","Focus","2007","1596.0","222000","3000"
"Audi","Q5","2015","1995.0","180000","20500"
"Renault","Megane","2004","1890.0","180000","1550"
"Opel","Astra","1997","1598.0","230000","700"
"Citroen","Berlingo","2011","1560.0","188745","2399"
"Fiat","Multipla","2005","1600.0","183011","2200"
"BMW","Serija 5","2006","2996.0","186656","9499"
"Chevrolet","Spark","2007","800.0","97000","1500"
"Hyundai","i20","2019","1248.0","21686","8490"
"Škoda","Superb","2013","1968.0","171524","9999"
"Chevrolet","Spark","2008","800.0","99000","1800"
"Renault","Scenic","2000","1870.0","229945","1150"
"Renault","Megane","2005","2000.0","150000","2900"
"Land Rover","Discovery","2016","2993.0","81217","32000"
"Peugeot","308","2007","1600.0","221321","3750"
"BMW","320","2015","1995.0","225800","9700"
"Hyundai","Elantra","2001","1600.0","250000","1090"
"Škoda","Octavia","2018","999.0","14312","17499"
"Peugeot","307","2005","1600.0","272000","2350"
"Alfa Romeo","147","2002","1900.0","206900","1750"
"VW","Scirocco","2008","1390.0","160988","6799"
"Opel","Corsa","2004","1199.0","196000","1800"
"Škoda","Fabia","2015","1197.0","31715","8499"
"Citroen","Berlingo","2010","1560.0","296054","1699"
"Fiat","Grande Punto","2006","1400.0","210000","2650"
"Mercedes","M klasa","2011","2987.0","220489","12499"
"Volvo","XC 60","2010","2400.0","275000","8800"
"Chevrolet","Spark","2008","800.0","130000","1500"
"Škoda","Octavia","2016","1968.0","178936","11590"
"BMW","X3","2006","1995.0","134399","7299"
"Peugeot","306","2001","1986.0","190000","1100"
"Peugeot","307","2004","1997.0","218000","1499"
"MINI","Cooper","2007","1598.0","144103","5190"
"Alfa Romeo","156","2003","1900.0","224000","1850"
"Škoda","Octavia","2016","999.0","163067","8350"
"Toyota","Corolla Verso","2002","1998.0","270123","2190"
"Škoda","Octavia","2009","1896.0","134048","6600"
"Škoda","Fabia","2018","999.0","14493","10499"
"Opel","Antara","2013","2231.0","130525","10699"
"Ford","B Max","2014","998.0","58272","7499"
"VW","Golf 5","2004","1998.0","314000","3000"
"VW","Passat","2007","1900.0","235123","4850"
"Audi","A6","2002","2480.0","290000","2999"
"VW","Sharan","2006","2792.0","209527","4499"
"Toyota","RAV4","2013","2231.0","90060","14500"
"VW","Passat","2001","1940.0","181000","2490"
"VW","Tiguan","2012","1968.0","198000","10900"
"Audi","A4","2002","1986.0","270000","3200"
"VW","Passat","2015","1968.0","116648","12990"
"Ford","Mondeo","2016","1997.0","134000","11990"
"Audi","A3","2011","1595.0","65400","9900"
"Škoda","Felicia","1998","1900.0","200000","500"
"BMW","Serija 5","2015","1995.0","183000","14990"
"Renault","Laguna","2006","1870.0","225000","1499"
"Alfa Romeo","159","2006","1910.0","192000","3000"
"VW","Golf 4","2005","1900.0","322000","2650"
"VW","Passat","2016","1968.0","174444","12690"
"Peugeot","308","2015","1560.0","144000","7990"
"Ford","Focus","2001","1800.0","247000","1350"
"VW","Touran","2008","1968.0","196000","6800"
"Volvo","XC 60","2010","2400.0","182700","10999"
"Audi","A4","2016","1968.0","182000","15990"
"Seat","Altea XL","2011","1598.0","263914","4990"
"Ford","Focus C_Max","2016","1997.0","169282","11599"
"Škoda","Fabia","2012","1598.0","178550","4499"
"Ford","Fusion","2008","1399.0","122781","3650"
"Volvo","S60","2015","1984.0","129287","14950"
"Saab","9_3","2004","1910.0","171000","3400"
"Mazda","3","2014","1496.0","133791","9990"
"Rover","200","1999","1998.0","168000","969"
"Kia","Sportage","2016","1598.0","52215","16490"
"Peugeot","308","2016","1997.0","185168","8790"
"VW","Golf 5","2008","1896.0","234000","3650"
"Škoda","Yeti","2009","1968.0","215390","6500"
"VW","Polo","2008","1200.0","101486","3600"
"VW","Passat","2004","1900.0","208000","2999"
"Rover","200","1999","1580.0","197000","1269"
"Volvo","V40","2001","1900.0","255000","1499"
"VW","Golf 5","2005","1895.0","199650","3300"
"VW","Passat","2015","1968.0","177900","12990"
"Honda","Jazz","2004","1339.0","144229","2990"
"Renault","Scenic","2002","1390.0","180000","1400"
"Peugeot","308","2015","1560.0","89000","8490"
"VW","Passat","2016","1968.0","144121","13990"
"BMW","Serija 5","2015","1995.0","185000","13990"
"Audi","A4","2008","1798.0","219946","7199"
"Opel","Insignia","2015","1956.0","164162","9950"
"MINI","Cooper","2010","1560.0","175870","5899"
"VW","Polo","2008","170000.0","170000","2600"
"Renault","Scenic","2001","1900.0","343000","1500"
"Mercedes","E klasa","2011","2143.0","259795","11499"
"Ford","Mondeo","2015","1997.0","115000","12990"
"VW","Golf 4","2000","1896.0","225000","1950"
"Citroen","Xsara Picasso","2001","1794.0","390000","1200"
"VW","Touran","2016","1598.0","177000","11990"
"VW","Passat","2016","1598.0","105520","15650"
"Audi","A4","2016","1968.0","183000","15990"
"Škoda","Octavia","2016","1968.0","114500","13990"
"VW","Golf 7","2015","1968.0","103300","15990"
